Episode,Yul Kwon,Sophie Clarke,Tyson Apostol,Parvati Shallow,Ethan Zohn,Wendell Holland,Tony Vlachos,Danni Boatwright,Jeremy Collins,Nick Wilson,Rob Mariano,Sandra Diaz-Twine,Adam Klein,Denise Stapley,Kim Spradlin-Wolfe,Ben Driebergen,Sarah Lacina,Michele Fitzgerald,Natalie Anderson,Amber Mariano,Edge Returnee
Episode 1,4.26,4.03,3.94,3.34,3.22,3.2,2.99,2.74,2.63,2.6,2.59,2.43,2.38,2.23,1.97,1.97,1.92,1.9,1.31,1.31,
Episode 2,3.86,4.48,3.79,2.82,2.93,2.79,3.47,1.11,2.77,1.73,2.44,2.08,3.22,2.61,2.08,2.06,2.25,1.75,1.77,1.19,
Episode 3,3.91,4.19,3.67,2.49,1.5,2.08,3.69,1.1,2.57,1.3,2.34,2.32,2.29,2.43,1.64,2.13,2.89,3.32,2.45,1.07,
Episode 4,3.94,4.09,2.44,2.14,1.53,1.85,4.22,1.05,2.39,1.44,2.31,2.2,2.56,1.8,1.48,1.91,3.18,3.47,2.73,1.25,
Episode 5,3.77,4.58,2.32,2.35,1.29,1.48,4.23,1.06,2.28,1.39,1.32,1.89,2.24,1.7,1.9,1.91,3.38,3.72,2.41,1.1,
Episode 6,3.13,4.65,2.97,1.51,1.3,1.41,3.61,1.11,2.14,1.71,1.25,1.13,2.24,2.47,1.85,2.04,3.33,3.62,2.15,1.14,
Episode 7,1.8,4.57,3.14,1.72,1.48,1.32,3.78,1.02,2.21,1.69,1.62,1.06,1.79,2.47,2.07,1.82,3.36,4.16,1.7,1.09,
Episode 8,1.42,4.59,3.48,1.24,1.25,1.07,4.34,1.05,2.35,1.38,1.46,,1.7,2.34,1.81,1.88,3.01,3.11,1.57,1.03,
Episode 9,1.28,4.02,3.42,1.53,1.11,1.08,4.53,1.13,2.19,1.46,1.27,,1.12,1.96,2.1,1.61,2.69,3.14,1.58,1.04,
Episode 10,1.25,3.87,1.97,1.48,1.14,1.08,4.62,1.02,1.94,1.48,1.24,,1.24,1.65,2.08,1.76,2.95,2.54,1.56,1.03,
Episode 11,1.12,1.72,1.71,1.83,1.14,1.05,4.92,1.02,2.22,1.58,1.2,,1.08,1.77,2.46,1.63,3.25,2.65,1.9,1.02,
Episode 12,1.19,1.76,1.63,1.9,1.15,1.06,4.89,1.16,2.19,1.61,1.27,,1.1,1.71,1.5,1.35,3.15,2.34,2.0,1.02,2.48
Episode 13,1.13,1.24,2.0,1.61,1.1,1.07,4.82,1.14,1.28,1.17,1.24,,1.1,1.68,1.21,1.37,3.0,2.99,2.86,1.11,2.94
Finale,1.13,1.24,2.0,1.61,1.1,1.07,4.82,1.14,1.28,1.17,1.24,,1.1,1.68,1.21,1.37,3.0,2.99,2.86,1.11,2.94
